POI_ID,Company_ID,Company_Name,HQ_Country,Service_Type,FY_Year,Total_Customers_To_POI,Active_Tourists,Avg_Customer_Rating,Revenue(USD),Marketing_Expenditure_USD,Avg_Booking_Value,Destinations_Preference_Index,Tech_Adaptability_index,Digital_Channel_Share,Customer_Retention,Avg_Trip_Cost_USD,Commission,CSR_Focus_index,Reviews,Booking_Platforms
POI_00001,COMP_0001,Marriott International,United States,Resort Management,2023,21227,16204,4.1,1289472003,120678866,2728,85,73,0.673,0.816,5561,208018305,90,64199,Airbnb
POI_00002,COMP_0002,Hilton Worldwide,France,Corporate Travel,2023,17396,14848,3.1,494770452,48423741,4368,72,68,0.822,0.813,9092,49664138,76,12093,Multiple Platforms
POI_00003,COMP_0003,Hilton Worldwide Experiences,United States,Resort Management,2022,73757,52801,3.6,1018990705,173589423,2407,85,84,0.756,0.801,5548,203352820,74,58199,Multiple Platforms
POI_00004,COMP_0004,InterContinental Hotels Group - Paris,United States,Resort Management,2023,49555,36611,3.2,518396075,37198718,1155,89,76,0.64,0.805,1892,46325908,69,53399,Hostelworld
POI_00005,COMP_0005,InterContinental Hotels Group,France,Hotel Chain,2020,32138,28815,3.5,233962188,23187447,542,86,83,0.628,0.783,1304,41906889,65,56999,Elong
POI_00006,COMP_0006,InterContinental Hotels Group Ventures,France,Hotel Chain,2020,93146,81408,3.1,1540620954,122659548,3206,73,75,0.587,0.791,5946,218413348,74,52200,Elong
POI_00007,COMP_0007,Wyndham Hotels & Resorts,France,Resort Management,2020,67589,54622,3.9,2791273960,384781027,5710,90,79,0.821,0.818,7485,348254528,87,61800,Priceline
POI_00008,COMP_0008,Accor - London,United States,Online Travel Agency,2024,31044,25501,3.3,924518203,147533029,2246,82,68,0.759,0.788,4542,97714978,63,54599,Expedia
POI_00009,COMP_0009,Accor,France,Adventure Tourism,2021,24522,19304,4.4,201970922,15549843,910,96,76,0.917,0.91,1703,39311507,88,37548,Agoda
POI_00010,COMP_0010,Accor Resorts,United States,Hotel Chain,2022,90393,71403,3.9,653538838,101130359,1625,74,85,0.769,0.784,3410,91841521,84,61800,Own Platform
POI_00011,COMP_0011,Best Western Hotels & Resorts - Hong Kong,United States,Hotel Chain,2020,134704,102659,4.9,2123362067,127193603,4325,82,74,0.948,0.913,10605,270774893,83,68668,Kayak
POI_00012,COMP_0012,Best Western Hotels & Resorts,France,Resort Management,2022,12927,10365,4.1,422377322,44269001,850,77,97,0.82,0.818,1487,37287262,78,64199,Agoda
POI_00013,COMP_0013,Hyatt Hotels Corporation - Shanghai,United Kingdom,Resort Management,2023,3929,3370,3.9,1841492872,314096037,3759,87,79,0.753,0.789,7383,289842500,82,61800,Trivago
POI_00014,COMP_0014,Hyatt Hotels Corporation,United Kingdom,Resort Management,2024,137838,122040,4.3,716597583,143142912,1526,95,78,0.722,0.88,2407,68999250,81,66599,Direct Website
POI_00015,COMP_0015,Radisson Hotel Group,France,Resort Management,2022,52464,43809,3.4,2144675540,221999392,6406,73,90,0.834,0.842,8600,217411061,84,41634,Expedia
POI_00016,COMP_0016,Radisson Hotel Group Resorts,United Kingdom,Resort Management,2023,164098,120115,4.0,817092308,156989875,2015,85,81,0.851,0.824,4506,157390159,76,63000,Booking.com
POI_00017,COMP_0017,Choice Hotels International,United Kingdom,Hotel Chain,2020,104101,92725,3.1,1174654816,76097799,3018,80,78,0.815,0.749,3994,192100497,78,41708,HomeAway
POI_00018,COMP_0018,Choice Hotels International Hotels,United States,Hotel Chain,2022,67271,54745,3.5,268682657,25826759,575,73,76,0.781,0.822,1201,34085121,78,56999,MakeMyTrip
POI_00019,COMP_0019,Expedia Group - Hong Kong,United Kingdom,Corporate Travel,2020,12092,10586,4.0,492355041,87513390,1152,77,91,0.86,0.879,2650,69088036,73,63000,Kayak
POI_00020,COMP_0020,Expedia Group,United States,Hotel Chain,2020,5625,4882,3.9,2556251553,349744580,6322,74,71,0.727,0.833,8430,494436517,81,61800,Priceline
POI_00021,COMP_0021,Booking Holdings,United Kingdom,Tour Operator,2023,1738,1556,4.6,205855911,35145686,489,81,85,0.833,0.849,1092,36579999,92,70199,Ctrip
POI_00022,COMP_0022,Booking Holdings Holdings,France,Adventure Tourism,2020,16087,12747,2.5,73014319,13732707,207,80,81,0.74,0.721,501,10891169,61,45000,Hotels.com
POI_00023,COMP_0023,Airbnb,United States,Travel Agency,2022,12200,10511,4.9,773150394,142530250,1447,94,84,0.858,0.928,2449,83944521,79,73800,Hotwire
POI_00024,COMP_0024,TripAdvisor,United Kingdom,Cruise Line,2024,8364,6740,4.5,703546620,49962012,1392,82,77,0.789,0.891,3192,90937060,86,69000,Vrbo
POI_00025,COMP_0025,TripAdvisor Ventures,United Kingdom,Online Travel Agency,2022,43940,34911,2.2,877507187,91969735,2119,72,66,0.709,0.684,4931,110489012,56,41400,Expedia
POI_00026,COMP_0026,Carnival Corporation - Shanghai,France,Travel Agency,2022,18323,13371,4.5,174665206,32684309,409,95,74,0.769,0.904,780,17317016,84,56077,Hostelworld
POI_00027,COMP_0027,Carnival Corporation,United Kingdom,Resort Management,2020,51876,38703,3.3,415833013,71998253,1610,75,72,0.604,0.847,2996,67231488,62,35633,Kayak
POI_00028,COMP_0028,Royal Caribbean Group,United States,Online Travel Agency,2022,156530,137194,4.6,332050682,64723270,1262,95,85,0.85,0.892,2999,43643846,83,41292,Airbnb
