POI_ID,POI_Name,Country,Region_type,POI_Latitude,POI_Longitude,POI_Type_Detailed,Time_To_Visit,Family_Friendly_Index,Transit_Time,Local_Transfer(USD),Accessebility_Value,Visitor_Volume,Seasonality_Index,Food_Index,Operating_Hours,Safety_Index,Cost_of_POI,connectivity_index
POI_00001,Marriott Mountain Resort - Vienna,Austria,Coastal,48.246822,16.381877,Mountain Resort,53.1,100,51,33,44,800000,76,53,12,87,272,70
POI_00002,Hilton Corporate Lounge - France,France,Urban,46.645334,1.888654,Corporate Lounge,3.8,83,30,43,58,800000,62,69,15,72,137,58
POI_00003,Hilton Beach Resort - United States,United States,Suburban,39.746517,-100.465863,Beach Resort,104.3,76,96,80,55,800000,38,60,13,64,313,74
POI_00004,InterContinental Mountain Resort - New York,United States,Metropolitan,40.721477,-74.021972,Mountain Resort,49.2,75,16,10,67,800000,45,65,12,80,269,92
POI_00005,InterContinental Business Hotel - France,France,Coastal,46.629634,1.906527,Business Hotel,54.3,98,106,67,43,800000,69,74,24,78,31,57
POI_00006,InterContinental Resort - France,France,Urban,46.571691,1.888067,Resort,108.5,84,56,81,82,800000,32,66,14,75,34,70
POI_00007,Wyndham Spa Resort - Vienna,Austria,Suburban,48.24642,16.392602,Spa Resort,118.3,100,80,50,60,800000,32,67,8,79,275,64
POI_00008,Accor Tech Hub - Miami,United States,Coastal,25.782808,-80.172091,Tech Hub,6.3,90,115,125,44,800000,63,62,14,78,79,74
POI_00009,Accor Activity Hub - Tokyo,Japan,Metropolitan,35.643119,139.692281,Activity Hub,6.9,100,34,49,64,800000,42,85,10,85,89,83
POI_00010,Accor Resort Hotel - Shanghai,China,Urban,31.196473,121.456438,Resort Hotel,40.5,84,29,21,65,800000,40,86,24,75,168,68
POI_00011,Best Business Hotel - New York,United States,Metropolitan,40.726348,-73.961451,Business Hotel,33.8,100,34,28,70,800000,50,76,24,72,61,73
POI_00012,Best Mountain Resort - France,France,Suburban,46.574431,1.845063,Mountain Resort,26.1,85,61,32,54,800000,57,69,12,78,152,71
POI_00013,Hyatt Resort Hotel - United Kingdom,United Kingdom,Island,54.701012,-3.248238,Resort Hotel,102.6,100,66,47,56,800000,63,68,24,81,113,61
POI_00014,Hyatt Resort Hotel - Bali,Indonesia,Coastal,-8.369156,115.055067,Resort Hotel,54.0,100,48,59,68,800000,65,50,24,62,127,75
POI_00015,Radisson Spa Resort - Hong Kong,Hong Kong,Island,22.357461,114.147982,Spa Resort,75.5,78,55,37,67,537880,89,63,8,61,335,65
POI_00016,Radisson Resort - Kyoto,Japan,Historical,34.968317,135.743631,Resort,71.4,83,29,32,51,800000,60,61,8,65,182,69
POI_00017,Choice Hotel - Las Vegas,United States,Mountain,36.128811,-115.130831,Hotel,69.7,98,31,26,58,800000,67,66,24,64,75,61
POI_00018,Choice Hotel - Singapore,Singapore,Metropolitan,1.307642,103.780531,Hotel,69.8,86,34,25,81,800000,52,76,24,95,148,85
POI_00019,Expedia Business Center - Rome,Italy,Historical,41.911791,12.503323,Business Center,9.4,80,55,57,52,800000,36,55,11,69,29,64
POI_00020,Expedia Luxury Hotel - United States,United States,Historical,39.789002,-100.411258,Luxury Hotel,74.4,83,47,41,44,800000,41,56,24,67,97,57
POI_00021,Booking Travel Agency - Athens,Greece,Historical,38.015616,23.698046,Travel Agency,7.4,100,52,39,65,800000,59,57,16,70,57,60
POI_00022,Booking Activity Hub - France,France,Historical,46.623681,1.892969,Activity Hub,4.3,65,49,41,68,800000,57,54,14,81,121,66
POI_00023,Airbnb Tourist Office - United States,United States,Metropolitan,39.812903,-100.472469,Tourist Office,2.3,97,22,10,60,800000,53,83,11,75,68,82
POI_00024,TripAdvisor Marina - United Kingdom,United Kingdom,Historical,54.661789,-3.28787,Marina,8.3,87,34,30,52,800000,56,69,11,63,85,62
POI_00025,TripAdvisor Tech Hub - Paris,France,Urban,48.86373,2.376313,Tech Hub,6.1,70,39,42,84,800000,54,81,11,79,160,69
POI_00026,Carnival Booking Office - Paris,France,Rural,48.835702,2.335571,Booking Office,3.8,95,105,83,69,800000,50,48,9,64,49,65
