POI_ID,Common_Travel_Partner,Total_Visitors,Dominant_Age_Group,Origin_Country,Average_Sentiment_Score,Average_Rating,Reviews,Avg_spend_per_head,Accesebility_index,Travel_mode,time_spent,Overall_experience
POI_00001,Family,21227,36-45,China,77.5,4.1,9627,446,66,Car/Road Trip,172.7,Excellent
POI_00002,Couple,17396,26-35,France,50.8,3.1,2993,304,65,Flight,82.9,Average
POI_00003,Family,73757,46-55,Others,66.9,3.6,9617,717,71,Flight,145.8,Good
POI_00004,Family,49555,46-55,Spain,56.3,3.2,6184,579,61,Car/Road Trip,176.9,Good
POI_00005,Solo,32138,26-35,Others,64.1,3.5,4145,202,80,Car/Road Trip,47.2,Good
POI_00006,Couple,93146,36-45,UAE,47.8,3.1,11494,380,86,Flight,81.5,Average
POI_00007,Couple,67589,26-35,Switzerland,73.1,3.9,9097,454,82,Flight,146.4,Excellent
POI_00008,Couple,31044,36-45,Germany,54.6,3.3,20913,292,71,Train,2.9,Good
POI_00009,Solo,24522,18-25,United States,81.2,4.4,3472,96,73,Bus/Coach,28.9,Outstanding
POI_00010,Friends Group,90393,18-25,United Kingdom,72.6,3.9,12166,182,87,Flight,119.1,Excellent
POI_00011,Family,134704,36-45,United States,80.6,4.9,20017,425,88,Flight,77.9,Outstanding
POI_00012,Family,12927,36-45,Germany,71.4,4.1,8604,498,85,Flight,116.6,Excellent
POI_00013,Solo,3929,26-35,Australia,72.1,3.9,19268,280,64,Train,124.5,Excellent
POI_00014,Couple,137838,46-55,South Korea,78.4,4.3,19324,830,74,Flight,117.4,Excellent
POI_00015,Solo,52464,56-65,Singapore,55.8,3.4,6694,766,72,Flight,122.3,Good
POI_00016,Solo,164098,18-25,France,72.0,4.0,13053,169,65,Car/Road Trip,117.8,Excellent
POI_00017,Couple,104101,26-35,United Kingdom,59.5,3.1,12846,228,78,Train,112.8,Good
POI_00018,Family,67271,46-55,United States,65.7,3.5,8677,425,69,Train,109.8,Good
POI_00019,Solo,12092,26-35,Others,62.1,4.0,1644,206,78,Train,61.5,Good
POI_00020,Friends Group,5625,26-35,Netherlands,65.3,3.9,17391,258,87,Flight,71.9,Good
POI_00021,Family,1738,46-55,Australia,77.9,4.6,12878,448,83,Car/Road Trip,27.7,Outstanding
POI_00022,Solo,16087,26-35,UAE,42.9,2.5,1850,203,57,Bus/Coach,24.7,Average
POI_00023,Friends Group,12200,18-25,Germany,81.1,4.9,2471,139,80,Car/Road Trip,3.5,Outstanding
POI_00024,Solo,8364,26-35,Germany,72.3,4.5,16139,478,64,Car/Road Trip,274.0,Excellent
POI_00025,Couple,43940,26-35,United States,36.4,2.2,4868,232,81,Car/Road Trip,2.4,Below Average
POI_00026,Family,18323,36-45,United States,70.7,4.5,2620,324,81,Car/Road Trip,4.2,Excellent
POI_00027,Friends Group,51876,26-35,Switzerland,63.7,3.3,6546,286,51,Bus/Coach,137.7,Good
POI_00028,Friends Group,156530,18-25,Others,85.1,4.6,22602,162,77,Flight,1.5,Outstanding
POI_00029,Solo,141543,26-35,Others,76.4,4.2,19646,490,61,Car/Road Trip,137.6,Excellent
POI_00030,Family,160306,46-55,Spain,57.0,3.2,20006,846,69,Train,349.2,Good
POI_00031,Family,60066,36-45,Mexico,66.5,3.6,20808,649,75,Flight,166.4,Good
POI_00032,Friends Group,7545,18-25,Japan,68.2,4.0,9492,108,68,Bus/Coach,33.4,Excellent
POI_00033,Family,21748,46-55,Canada,57.3,3.5,2177,595,84,Flight,20.3,Good
POI_00034,Couple,10259,46-55,Germany,62.7,3.5,9973,572,84,Flight,93.7,Good
POI_00035,Couple,53696,26-35,China,82.0,4.7,2519,280,66,Flight,40.1,Outstanding
POI_00036,Family,7002,46-55,Germany,68.1,4.3,10576,625,64,Cruise,111.7,Excellent
POI_00037,Family,12112,36-45,Italy,58.2,3.4,4860,349,72,Flight,7.0,Good
POI_00038,Family,40173,36-45,United Kingdom,75.9,4.3,5632,373,72,Flight,4.3,Excellent
POI_00039,Family,10989,46-55,Canada,39.0,2.7,2842,469,55,Bus/Coach,5.3,Average
POI_00040,Couple,135844,36-45,Others,59.0,3.3,17143,282,74,Bus/Coach,1.7,Good
POI_00041,Couple,19538,46-55,Canada,47.6,3.0,6878,589,66,Flight,29.8,Average
POI_00042,Friends Group,56182,26-35,United Kingdom,58.5,3.4,7168,254,76,Flight,9.5,Good
POI_00043,Solo,20840,26-35,Others,61.2,4.0,2834,256,66,Flight,38.8,Good
POI_00044,Family,76217,46-55,China,46.3,3.0,8816,399,70,Bus/Coach,43.6,Average
POI_00045,Solo,55244,26-35,Italy,61.9,4.0,4386,263,82,Flight,75.4,Good
POI_00046,Couple,38733,36-45,South Korea,49.4,3.2,4833,423,81,Flight,25.5,Average
POI_00047,Couple,18631,26-35,Russia,66.7,3.9,2507,290,76,Flight,14.6,Good
POI_00048,Couple,52748,36-45,Others,62.7,3.6,6878,347,68,Train,45.2,Good
POI_00049,Solo,7215,18-25,India,64.1,3.7,4786,172,87,Flight,46.7,Good
POI_00050,Family,37110,36-45,China,55.0,3.5,7358,310,82,Train,85.0,Good
POI_00051,Friends Group,78546,18-25,United States,60.9,3.6,10242,150,87,Flight,26.2,Good
POI_00052,Family,12117,36-45,Japan,78.4,4.4,22625,841,75,Flight,297.9,Excellent
POI_00053,Solo,160801,26-35,Others,63.8,3.9,21643,229,68,Car/Road Trip,1.5,Good
POI_00054,Couple,5105,26-35,United States,73.0,4.0,694,251,72,Flight,45.8,Excellent
POI_00055,Friends Group,157119,18-25,Spain,63.5,4.1,21588,118,72,Bus/Coach,2.1,Good
POI_00056,Solo,123007,26-35,United States,76.6,4.5,17590,288,78,Flight,1.8,Excellent
POI_00057,Couple,33632,26-35,South Korea,71.4,4.3,4715,252,84,Flight,5.6,Excellent
POI_00058,Solo,32556,56-65,South Korea,50.1,3.0,3971,663,76,Flight,4.4,Average
POI_00059,Family,35080,36-45,United Kingdom,83.0,4.5,5016,352,84,Flight,128.5,Outstanding
POI_00060,Solo,2774,26-35,Australia,59.1,3.5,4069,288,76,Flight,38.8,Good
POI_00061,Family,7158,46-55,Japan,78.6,4.3,6015,429,77,Flight,68.0,Excellent
POI_00062,Family,89818,46-55,Others,69.8,4.0,12215,462,84,Train,1.8,Excellent
POI_00063,Couple,8953,46-55,India,74.4,4.5,3550,507,65,Flight,22.3,Excellent
POI_00064,Family,24459,46-55,Germany,63.6,3.9,4082,466,68,Flight,53.9,Good
POI_00065,Family,24101,36-45,United States,66.2,3.7,3176,300,72,Car/Road Trip,52.5,Good
POI_00066,Solo,1779,18-25,Brazil,80.9,4.4,35033,237,78,Car/Road Trip,189.0,Outstanding
POI_00067,Couple,94553,46-55,China,67.3,3.5,19335,688,77,Flight,160.7,Good
POI_00068,Business,1866,36-45,Netherlands,49.7,3.2,9317,406,85,Flight,10.5,Average
POI_00069,Solo,1599,65+,Australia,86.0,4.7,7098,626,69,Flight,28.0,Outstanding
POI_00070,Solo,125769,56-65,United Kingdom,92.0,5.0,18865,694,70,Flight,20.2,Outstanding
