POI_ID,POI_Name,Country,Region_type,POI_Latitude,POI_Longitude,POI_Type_Detailed,Time_To_Visit,Family_Friendly_Index,Transit_Time(in mins),Local_Transfer(USD),Accessebility_Value,Visitor_Volume(in thousands),Seasonality_Index,Food_Index,Operating_Hours,Safety_Index,Cost_of_POI,Connectivity_index
POI_00001,London Religious Site,United Kingdom,Historical,51.494854,-0.082729,Religious Site,October-December,7.1,31,Yes,5.1,28347.3,3.1,8.8,6:00 AM - 22:00 PM,8.3,145.55,6
POI_00002,Rome Cultural Center,Italy,Historical,41.912041,12.451045,Cultural Center,Winter Season,4.9,21,Yes,8.2,7917.2,9.9,7.6,9:00 AM - 21:00 PM,6.1,93.95,7.3
POI_00003,Maldives Art Gallery,Maldives,Island,3.242283,73.23049,Art Gallery,Winter Season,5.3,35,Yes,5.1,636.5,7.1,8.9,24 Hours,7.2,176.42,7.9
POI_00004,New York Wildlife Sanctuary,United States,Urban,40.74911,-73.99367,Wildlife Sanctuary,Summer Season,3.9,47,Yes,4.8,202.4,8.9,6,6:00 AM - 17:00 PM,7,262.5,4.7
POI_00005,Bali Theme Park,Indonesia,Island,-8.299743,115.066929,Theme Park,Summer Season,6.7,39,Yes,4.1,673.7,9.7,6.9,8:00 AM - 22:00 PM,6.5,442.16,7
POI_00006,Bangkok Botanical Garden,Thailand,Urban,13.748041,100.474011,Botanical Garden,January-March,4.3,114,Yes,4.3,912.9,5.1,5.5,6:00 AM - 19:00 PM,4.8,487.3,6.4
POI_00007,Bali Scenic Viewpoint,Indonesia,Island,-8.366294,115.109214,Scenic Viewpoint,July-September,5.6,91,No,6.2,22080.4,5.1,4.9,24 Hours,8.4,194.35,6.1
POI_00008,Tokyo Archaeological Site,Japan,Urban,35.637547,139.692769,Archaeological Site,April-June,6,84,Yes,8.6,22861.2,5.2,7.3,24 Hours,6.6,91.9,9.1
POI_00009,Istanbul Adventure Park,Turkey,Historical,40.95912,28.938547,Adventure Park,January-March,4.4,31,Yes,6.7,12515.9,3.9,7.4,10:00 AM - 19:00 PM,6,196.43,7.8
POI_00010,Los Angeles Mountain Resort,United States,Urban,34.05989,-118.244448,Mountain Resort,April-June,5.9,44,No,3.5,14794.3,5.6,4,24 Hours,6.6,479.27,6.6
POI_00011,Singapore Nature Park,Singapore,Urban,1.395715,103.839403,Nature Park,Summer Season,4.6,79,No,8.3,2699.9,9.5,7.2,7:00 AM - 17:00 PM,7.3,366.12,6.2
POI_00012,Dubai Mountain Resort,UAE,Urban,25.192358,55.230198,Mountain Resort,Year-Round,4.3,63,No,6.4,445.5,4.1,6.6,24 Hours,5.1,66.81,7.7
POI_00013,Rome Religious Site,Italy,Historical,41.90443,12.478696,Religious Site,October-December,5.8,61,Yes,5,5849.4,4.6,5.4,8:00 AM - 17:00 PM,6.1,162.61,7.5
POI_00014,London Art Gallery,United Kingdom,Historical,51.462,-0.173727,Art Gallery,October-December,8,64,No,5.2,10267.7,5,6.9,9:00 AM - 18:00 PM,6.3,245.23,7.1
POI_00015,London Food Market,United Kingdom,Historical,51.551423,-0.120253,Food Market,Winter Season,6.2,63,No,5.9,1804.2,9.8,7.2,24 Hours,5.2,81.21,4.9
POI_00016,Sydney Cultural Center,Australia,Coastal,-33.845293,151.239648,Cultural Center,October-December,4.2,93,No,6.4,5115.3,7,5,7:00 AM - 20:00 PM,5.3,399.39,5.2
POI_00017,Paris Art Gallery,France,Historical,48.897138,2.311329,Art Gallery,October-December,7.1,114,Yes,5.7,637.8,4.2,4.8,24 Hours,6.3,388.57,6.7
POI_00018,Paris Scenic Viewpoint,France,Historical,48.876697,2.309476,Scenic Viewpoint,Year-Round,7.9,23,No,5,63959.8,6.9,6.4,10:00 AM - 22:00 PM,7,415.76,9.1
POI_00019,Rome Museum,Italy,Historical,41.864553,12.511321,Museum,January-March,7.1,116,No,6.2,7554.2,3.9,8.8,10:00 AM - 21:00 PM,5.4,486.45,5.6
POI_00020,Sydney Nature Park,Australia,Coastal,-33.914255,151.187396,Nature Park,October-December,9.3,62,Yes,7.9,1600.3,4.1,5.8,10:00 AM - 17:00 PM,7.7,209.01,8.2
POI_00021,New York Scenic Viewpoint,United States,Urban,40.704624,-73.962727,Scenic Viewpoint,Summer Season,5,17,Yes,6.5,4411.3,7.5,9.4,24 Hours,8.9,427.25,7.5
POI_00022,Dubai Religious Site,UAE,Urban,25.167716,55.316205,Religious Site,Summer Season,5.2,85,No,6.8,482.8,7.4,4.7,24 Hours,7.3,284.14,7.6
POI_00023,Los Angeles Adventure Park,United States,Urban,34.003654,-118.258641,Adventure Park,April-June,5.8,60,Yes,8,3380.7,6.1,5.9,24 Hours,7.1,438.06,8.2
POI_00024,Bali Archaeological Site,Indonesia,Island,-8.37531,115.055883,Archaeological Site,Year-Round,5.1,51,Yes,8.2,98.8,4.9,7.2,24 Hours,5.8,136.53,5.3
POI_00025,Dubai Scenic Viewpoint,UAE,Urban,25.162976,55.308158,Scenic Viewpoint,Winter Season,5.1,44,Yes,8.8,958.1,6.8,6.6,6:00 AM - 17:00 PM,7.7,328.21,7.3
POI_00026,Dubai Theme Park,UAE,Urban,25.192528,55.222807,Theme Park,January-March,4.4,49,No,4.1,5190.3,6.6,5.8,7:00 AM - 22:00 PM,6.4,405.13,5.8
POI_00027,Dubai Mountain Resort,UAE,Urban,25.178523,55.230978,Mountain Resort,Winter Season,4.1,31,Yes,3.9,567.7,9.6,3.6,24 Hours,5.3,234.68,6.6
POI_00028,Phuket Museum,Thailand,Coastal,7.849104,98.374668,Museum,Spring-Fall,5.8,40,Yes,4.3,1013.2,5.4,5,7:00 AM - 20:00 PM,6.4,119.46,6.1
POI_00029,Singapore Adventure Park,Singapore,Urban,1.336987,103.862753,Adventure Park,Summer Season,9.1,28,No,8,3156.8,8.3,8.6,10:00 AM - 19:00 PM,6.1,407.87,6.3
POI_00030,Istanbul Botanical Garden,Turkey,Historical,41.032961,28.978672,Botanical Garden,Winter Season,6.6,55,Yes,5.3,1628.5,9.6,5.6,24 Hours,4.5,472.92,5.9
POI_00031,Rome Theme Park,Italy,Historical,41.940477,12.480608,Theme Park,Winter Season,5.2,103,Yes,5.2,19108.6,6.6,5.7,8:00 AM - 21:00 PM,8.3,374.02,8
POI_00032,New York Beach Resort,United States,Urban,40.664611,-73.968788,Beach Resort,October-December,7.6,88,No,9.3,1484.1,5.8,5.6,24 Hours,8.1,323.02,7.5
POI_00033,Sydney Wildlife Sanctuary,Australia,Coastal,-33.88528,151.239585,Wildlife Sanctuary,October-December,4,56,No,4.6,1266.9,4.4,5.2,10:00 AM - 21:00 PM,4.7,151.07,4.7
POI_00034,Los Angeles Wildlife Sanctuary,United States,Urban,34.010735,-118.194013,Wildlife Sanctuary,Summer Season,6.4,22,Yes,7,6118.5,6.8,7.6,7:00 AM - 22:00 PM,5.5,135.81,4.9
POI_00035,Istanbul Food Market,Turkey,Historical,40.985274,28.9928,Food Market,October-December,3.9,31,No,6.5,1981.7,3.9,4.7,9:00 AM - 20:00 PM,6.6,58.87,4.9
POI_00036,Phuket Museum,Thailand,Coastal,7.920034,98.3436,Museum,October-December,3.8,17,Yes,3.7,1964.4,5.3,4.5,9:00 AM - 18:00 PM,6,417.85,4.6
POI_00037,Sydney Mountain Resort,Australia,Coastal,-33.829345,151.239286,Mountain Resort,Spring-Fall,3.9,43,No,5.9,303.8,3.6,7.1,24 Hours,7.7,286.56,5.1
POI_00038,Barcelona Religious Site,Spain,Coastal,41.394841,2.183452,Religious Site,Year-Round,5.1,111,No,6.2,7908,4.5,6.6,24 Hours,5.4,124.83,7.8
POI_00039,Dubai Food Market,UAE,Urban,25.157918,55.247026,Food Market,Winter Season,4.4,67,No,6.7,14038.5,6.4,4.5,10:00 AM - 20:00 PM,7.5,272.97,7.4
POI_00040,Los Angeles Archaeological Site,United States,Urban,34.05639,-118.206405,Archaeological Site,January-March,8,84,No,7.5,924,6.4,5.6,8:00 AM - 20:00 PM,7.1,149.54,8.9
POI_00041,Paris Shopping District,France,Historical,48.892804,2.386655,Shopping District,July-September,6.7,18,No,5.8,1134,3.3,6.2,7:00 AM - 21:00 PM,5.4,376.15,4.6
POI_00042,Paris Botanical Garden,France,Historical,48.900507,2.382078,Botanical Garden,October-December,6.8,95,No,7,1874.8,4.9,8.1,24 Hours,9.5,492.84,9.1
POI_00043,Paris Theme Park,France,Historical,48.874565,2.324025,Theme Park,October-December,8.8,24,Yes,6.9,93375.2,3.7,9.8,6:00 AM - 17:00 PM,6.8,474.23,8.4
POI_00044,Bali Cultural Center,Indonesia,Island,-8.37311,115.081624,Cultural Center,Spring-Fall,7.6,31,No,8.2,991.1,3.9,5.5,8:00 AM - 18:00 PM,7.3,316.82,7.5
POI_00045,Bali Cultural Center,Indonesia,Island,-8.364525,115.114342,Cultural Center,April-June,4.3,38,Yes,6.7,12.9,5.4,7.3,6:00 AM - 22:00 PM,5.9,355.11,6.6
POI_00046,Bali Botanical Garden,Indonesia,Island,-8.303316,115.044925,Botanical Garden,January-March,5.2,50,No,8.1,751.5,3.6,8.5,9:00 AM - 17:00 PM,8.7,278.36,5.6
POI_00047,Bangkok Archaeological Site,Thailand,Urban,13.799503,100.462051,Archaeological Site,Spring-Fall,8.2,22,No,6.3,1677.6,5.3,6.5,10:00 AM - 19:00 PM,8.2,70.58,9.2
POI_00048,Istanbul Historical Monument,Turkey,Historical,41.000818,28.973539,Historical Monument,Spring-Fall,6,87,No,4.1,2595.4,3.3,5.6,7:00 AM - 20:00 PM,5.8,172.97,6.6
POI_00049,Paris Art Gallery,France,Historical,48.871767,2.339053,Art Gallery,October-December,7,116,No,5.6,4735.3,6.1,8.8,9:00 AM - 21:00 PM,8.6,331.8,6.2
POI_00050,Tokyo Wildlife Sanctuary,Japan,Urban,35.653099,139.680056,Wildlife Sanctuary,Summer Season,5.2,16,No,3.9,4258.3,7.6,5.3,24 Hours,6,181.25,6.3
POI_00051,Tokyo Botanical Garden,Japan,Urban,35.677971,139.609087,Botanical Garden,April-June,3.8,23,Yes,5.2,2957.2,5.8,6.7,24 Hours,5,125.37,4.7
POI_00052,London Religious Site,United Kingdom,Historical,51.546882,-0.123041,Religious Site,Summer Season,6.8,82,Yes,7.1,563.1,8.9,5,24 Hours,5.8,161.2,6.2
POI_00053,Phuket Nature Park,Thailand,Coastal,7.850354,98.410323,Nature Park,January-March,3.2,42,No,4.6,3418,6,4.5,24 Hours,4.7,216.97,6.3
POI_00054,Barcelona Shopping District,Spain,Coastal,41.398256,2.196711,Shopping District,Spring-Fall,5.6,110,Yes,3.8,5115.4,4,6.4,10:00 AM - 22:00 PM,4.4,434.47,5.2
POI_00055,Rome Religious Site,Italy,Historical,41.865887,12.543382,Religious Site,Winter Season,4.8,22,No,4.6,100.4,9.3,5.6,24 Hours,5.5,327.72,6.9
POI_00056,Phuket Cultural Center,Thailand,Coastal,7.883517,98.435961,Cultural Center,Year-Round,3.5,62,Yes,6,2706,4.3,4.7,7:00 AM - 18:00 PM,3.8,116.75,6.2
POI_00057,Istanbul Museum,Turkey,Historical,40.978385,28.995743,Museum,October-December,5.4,85,No,7.1,2217,5.8,9.1,8:00 AM - 22:00 PM,9.7,357.46,7.9
POI_00058,London Beach Resort,United Kingdom,Historical,51.462221,-0.080083,Beach Resort,Year-Round,7.1,97,Yes,6,3139.2,6,7.1,24 Hours,5.8,197.16,6.6
POI_00059,Bangkok Scenic Viewpoint,Thailand,Urban,13.751169,100.475554,Scenic Viewpoint,Year-Round,4.6,22,No,6,11462.3,4.9,5.2,8:00 AM - 21:00 PM,7.1,283.59,5.9
POI_00060,Bangkok Religious Site,Thailand,Urban,13.771047,100.541603,Religious Site,January-March,6.7,21,No,6.8,20833,4.4,3.9,10:00 AM - 17:00 PM,5.6,165.55,5
POI_00061,Sydney Archaeological Site,Australia,Coastal,-33.847895,151.169988,Archaeological Site,Summer Season,5.2,116,No,6.2,3461.8,6.2,6.8,8:00 AM - 19:00 PM,8.1,320.73,7.7
POI_00062,Maldives Scenic Viewpoint,Maldives,Island,3.219555,73.180254,Scenic Viewpoint,April-June,6.2,76,No,5,19608,5.9,7.9,8:00 AM - 19:00 PM,5.8,93.07,5.2
POI_00063,Rome Archaeological Site,Italy,Historical,41.922044,12.545526,Archaeological Site,Spring-Fall,3.6,91,Yes,5.1,1097.2,3.3,6.2,24 Hours,4.4,195.52,4.5
POI_00064,Paris Mountain Resort,France,Historical,48.906014,2.368384,Mountain Resort,Year-Round,7.1,63,Yes,4.3,1801.1,5.2,8,24 Hours,5.5,360.5,5.6
POI_00065,Los Angeles Adventure Park,United States,Urban,34.086403,-118.241604,Adventure Park,Winter Season,4.6,94,No,4.8,5394.2,8.8,4.4,9:00 AM - 18:00 PM,6.1,168.4,6.3
POI_00066,Los Angeles Adventure Park,United States,Urban,34.013837,-118.211955,Adventure Park,Winter Season,7,106,No,6.8,5355.7,9.2,4.9,10:00 AM - 19:00 PM,4.7,231.34,5
POI_00067,Rome Botanical Garden,Italy,Historical,41.892666,12.461037,Botanical Garden,Winter Season,4,17,No,4.3,2434,9.9,5.4,8:00 AM - 18:00 PM,5.4,277.76,5.8
POI_00068,Barcelona Beach Resort,Spain,Coastal,41.433468,2.147318,Beach Resort,Spring-Fall,3.7,46,Yes,3.6,4354.8,5.8,3.5,24 Hours,5.3,498.51,6.1
POI_00069,Barcelona Food Market,Spain,Coastal,41.41203,2.124503,Food Market,July-September,5.7,17,Yes,4.9,1011.6,5.1,4.7,9:00 AM - 19:00 PM,4.7,158.54,7.6
POI_00070,Singapore Museum,Singapore,Urban,1.341548,103.815745,Museum,April-June,8.6,115,Yes,8.1,4882.4,4.3,7.7,8:00 AM - 18:00 PM,7.1,164.6,8.5
POI_00071,Paris Museum,France,Historical,48.874623,2.306367,Museum,Year-Round,5.4,22,No,3.4,563.5,4.2,4.3,8:00 AM - 20:00 PM,5.7,347.62,4.2
POI_00072,Istanbul Religious Site,Turkey,Historical,40.970339,28.989901,Religious Site,Spring-Fall,7.5,70,Yes,4.7,19032.6,6.9,8.2,24 Hours,6.5,490.99,7.7
POI_00073,Maldives Mountain Resort,Maldives,Island,3.176869,73.18285,Mountain Resort,April-June,6.4,82,No,4.4,3198.8,6.4,6.5,24 Hours,4.8,389.77,5.3
POI_00074,New York Religious Site,United States,Urban,40.713385,-73.97193,Religious Site,Winter Season,6.9,76,No,6.7,3953.3,7.2,7,24 Hours,7.8,443,7.6
POI_00075,Sydney Archaeological Site,Australia,Coastal,-33.899998,151.194838,Archaeological Site,Year-Round,7.1,15,Yes,8,308.2,3.6,5.9,10:00 AM - 19:00 PM,8.7,498.35,6.8
POI_00076,London Scenic Viewpoint,United Kingdom,Historical,51.505497,-0.113567,Scenic Viewpoint,January-March,5,73,No,4.9,357.3,5.4,5.3,7:00 AM - 17:00 PM,5.8,171.42,5.9
POI_00077,Singapore Adventure Park,Singapore,Urban,1.361923,103.843366,Adventure Park,July-September,9.7,82,No,7.1,18611.8,3.5,7,9:00 AM - 19:00 PM,9.4,222.72,8.3
POI_00078,Maldives Art Gallery,Maldives,Island,3.236993,73.18931,Art Gallery,Winter Season,6.7,65,Yes,5.2,6566.7,6.3,7.9,8:00 AM - 21:00 PM,7.3,246.58,8.2
POI_00079,Bali Historical Monument,Indonesia,Island,-8.365545,115.069195,Historical Monument,Summer Season,6.5,96,Yes,4.8,1218.7,6.3,8.6,24 Hours,5.9,289.59,6.9
POI_00080,Paris Nature Park,France,Historical,48.872017,2.32201,Nature Park,April-June,6.1,117,Yes,6.7,2422.7,4.4,4.6,10:00 AM - 18:00 PM,5.5,151.39,5.8
POI_00081,New York Food Market,United States,Urban,40.747798,-73.989098,Food Market,Year-Round,5.5,83,Yes,6,2398.8,6.2,5.7,8:00 AM - 18:00 PM,4.8,403.83,5.3
POI_00082,Los Angeles Shopping District,United States,Urban,34.00872,-118.247307,Shopping District,Year-Round,7.4,67,Yes,5.3,960.2,5.6,8.7,6:00 AM - 20:00 PM,7.2,399.03,9.5
POI_00083,Dubai Art Gallery,UAE,Urban,25.186476,55.306518,Art Gallery,October-December,6.1,118,Yes,5.5,1260.7,6.6,7.9,7:00 AM - 19:00 PM,6.3,248.15,8.1
POI_00084,Maldives Historical Monument,Maldives,Island,3.154061,73.226676,Historical Monument,July-September,7,108,Yes,4.4,1114,5.9,4.8,24 Hours,7.6,418.58,6.6
POI_00085,Phuket Nature Park,Thailand,Coastal,7.844597,98.377094,Nature Park,April-June,6.8,83,No,6.3,10394.2,4.9,7.7,24 Hours,6.7,106.82,6.8
POI_00086,Phuket Scenic Viewpoint,Thailand,Coastal,7.860795,98.407616,Scenic Viewpoint,January-March,9.2,95,Yes,8.8,1529,5.7,6.2,9:00 AM - 20:00 PM,9.4,351.83,8.1
POI_00087,Istanbul Beach Resort,Turkey,Historical,40.987422,29.019477,Beach Resort,Year-Round,8.1,16,No,8.8,659.5,6.3,5.8,24 Hours,8.5,100.66,7.9
POI_00088,Maldives Cultural Center,Maldives,Island,3.212122,73.25993,Cultural Center,Winter Season,3.6,40,No,6,10183.2,6.1,5.3,24 Hours,6.7,435.06,5.4
POI_00089,New York Theme Park,United States,Urban,40.70626,-73.978612,Theme Park,July-September,7.9,61,No,6.7,15651.9,5.8,5.2,24 Hours,6.8,96.9,6.3
POI_00090,Dubai Botanical Garden,UAE,Urban,25.182481,55.317953,Botanical Garden,April-June,5.4,35,No,5.9,30021.3,4.1,4.4,8:00 AM - 22:00 PM,5.9,52.48,4.4
POI_00091,Istanbul Beach Resort,Turkey,Historical,41.008941,29.015822,Beach Resort,Spring-Fall,6.8,119,Yes,4.5,824.1,4.7,5.6,24 Hours,7.7,371.31,6.7
POI_00092,New York Historical Monument,United States,Urban,40.708424,-74.019095,Historical Monument,Year-Round,4.6,93,Yes,3.5,200.1,3.3,4.4,7:00 AM - 19:00 PM,6.3,350.86,5.7
POI_00093,New York Historical Monument,United States,Urban,40.705003,-74.026496,Historical Monument,April-June,6.2,19,Yes,4.4,124.6,5.9,6.5,9:00 AM - 20:00 PM,7.4,361.62,6.1
POI_00094,Istanbul Museum,Turkey,Historical,41.028759,28.997241,Museum,July-September,4.4,60,Yes,4.3,6709.6,6.6,5,10:00 AM - 17:00 PM,5,61.45,6.4
