POI_ID,Common_Travel_Partner,Total_Visitors,Dominant_Age_Group,Origin_Country,Average_Sentiment_Score,Average_Rating,Reviews,Avg_spend_per_head,Accesebility_index,Travel_mode,time_spent,Overall_experience
POI_00001,Solo,1,18-25,France,10,9.8,Good value for money,205.03,5.7,Flight,60 mins,10
POI_00002,Couple,2,65+,China,9.7,9.5,Highly recommended destination,108.69,9.4,Flight,30 mins,9.9
POI_00003,Friends,4,18-25,United States,6.3,6.7,Beautiful location but crowded,313.11,4.8,Cruise,60 mins,6.4
POI_00004,Couple,2,56-65,India,7.8,8.4,Amazing experience with great service,299.42,6.1,Flight,180 mins,8.1
POI_00005,Couple,2,65+,South Korea,6.8,6.8,Breathtaking views,90.11,5.5,Cruise,60 mins,6.9
POI_00006,Friends,3,56-65,France,10,9.8,Amazing experience with great service,306.97,5.4,Flight,60 mins,10
POI_00007,Friends,5,36-45,France,6.5,6.5,Excellent facilities and staff,478.74,4.1,Cruise,60 mins,5.9
POI_00008,Family,3,18-25,China,8.2,8.1,Breathtaking views,630.75,7.2,Car,30 mins,7.6
POI_00009,Family,5,36-45,India,9.1,8.4,Peaceful and relaxing atmosphere,199.24,4.4,Train,30 mins,7.7
POI_00010,Friends,4,56-65,China,7.6,7.1,Breathtaking views,210.62,5.5,Flight,24 hours,6.9
POI_00011,Family,5,65+,India,6.9,6.3,Perfect for families,150.63,3.2,Flight,180 mins,6.6
POI_00012,Couple,2,65+,China,9.2,8.8,Amazing experience with great service,133.61,6,Car,48 hours,9.3
POI_00013,Family,5,18-25,Germany,8.2,8.5,Beautiful location but crowded,270.03,5.6,Flight,120 mins,7.8
POI_00014,Family,4,46-55,Japan,9.4,9.5,Excellent facilities and staff,569.31,8.4,Bus,90 mins,8.8
POI_00015,Family,5,26-35,France,8,8,Beautiful location but crowded,94.23,4.4,Car,180 mins,7.9
POI_00016,Couple,2,56-65,Germany,8.2,8.5,Excellent facilities and staff,625,5.3,Flight,120 mins,8.5
POI_00017,Friends,6,36-45,South Korea,6.3,6.9,Good value for money,146.87,6.7,Car,240 mins,6.6
POI_00018,Family,4,18-25,Germany,10,9.5,Amazing experience with great service,688.55,7.3,Bus,90 mins,8.9
POI_00019,Friends,7,36-45,China,6.7,7.3,Good value for money,291.25,6.6,Bus,180 mins,6.9
POI_00020,Family,3,26-35,Canada,7.9,8,Breathtaking views,147.12,5.4,Car,240 mins,7.6
POI_00021,Friends,4,26-35,France,8.4,8.1,Excellent facilities and staff,632,7.9,Bus,60 mins,7.9
POI_00022,Family,4,65+,India,6.9,7.2,Breathtaking views,379.22,5.4,Flight,180 mins,6.5
POI_00023,Friends,4,36-45,Germany,9.1,9.6,Excellent facilities and staff,424.91,9.5,Flight,180 mins,8.9
POI_00024,Friends,6,18-25,United States,8.5,9,Beautiful location but crowded,321.7,7.3,Flight,60 mins,9.4
POI_00025,Couple,2,65+,Australia,7.4,8.1,Unforgettable memories created,262.88,4.8,Train,30 mins,8.6
POI_00026,Friends,5,46-55,India,7.9,8.7,Could be better maintained,224.94,7.2,Flight,180 mins,8.7
POI_00027,Family,5,56-65,United States,8.2,7.5,Beautiful location but crowded,254.06,4.2,Flight,120 hours,7
POI_00028,Family,5,65+,Japan,7.2,7,Beautiful location but crowded,342.05,5.4,Bus,90 mins,7.4
POI_00029,Friends,3,26-35,Canada,10,9.6,Amazing experience with great service,323.83,6.5,Flight,240 mins,9.9
POI_00030,Family,5,56-65,United Kingdom,10,9.5,Highly recommended destination,150.95,5.5,Bus,30 mins,9.8
POI_00031,Family,4,65+,South Korea,5.5,6,Unforgettable memories created,62.13,3.5,Bus,60 mins,6.2
POI_00032,Couple,2,36-45,United Kingdom,9.1,8.8,Highly recommended destination,526.7,5.4,Train,120 hours,8.3
POI_00033,Solo,1,56-65,Japan,9.3,9,Could be better maintained,504.3,7.1,Flight,30 mins,9.6
POI_00034,Solo,1,36-45,France,7.1,7.5,Good value for money,585.83,5.2,Flight,30 mins,7.1
POI_00035,Couple,2,56-65,China,9,8.5,Beautiful location but crowded,428.26,6.3,Bus,240 mins,8.5
POI_00036,Friends,6,18-25,South Korea,6.4,7.1,Excellent facilities and staff,159.02,6.9,Flight,60 mins,7.3
POI_00037,Friends,7,56-65,United Kingdom,6.8,7.5,Peaceful and relaxing atmosphere,299.8,7.4,Bus,120 hours,8.1
POI_00038,Friends,7,26-35,South Korea,7,7.2,Good value for money,231.73,4.2,Bus,240 mins,7.7
POI_00039,Family,5,46-55,Japan,8.9,8.8,Could be better maintained,466.84,8.8,Train,180 mins,8.1
POI_00040,Friends,5,18-25,Germany,10,9.5,Good value for money,562.15,6.5,Flight,30 mins,9.9
POI_00041,Family,5,18-25,India,9.9,9.2,Highly recommended destination,421.3,6.9,Flight,60 mins,10
POI_00042,Couple,2,18-25,China,8.9,8.6,Amazing experience with great service,621.78,5.8,Bus,60 mins,9.1
POI_00043,Solo,1,18-25,Japan,6.5,6.4,Beautiful location but crowded,272.59,4.9,Flight,180 mins,5.8
POI_00044,Couple,2,36-45,Canada,7.6,8.4,Good value for money,567.69,5.7,Flight,180 mins,7.6
POI_00045,Couple,2,65+,India,8.5,8.1,Unforgettable memories created,434.18,4.4,Flight,120 mins,7.6
POI_00046,Couple,2,46-55,Australia,8.2,8.1,Good value for money,492.69,8,Flight,30 mins,8.3
POI_00047,Solo,1,65+,Australia,7.7,7.3,Perfect for families,297.31,3.9,Train,120 mins,7
POI_00048,Friends,7,46-55,United States,9.7,9.3,Beautiful location but crowded,205.81,5.4,Flight,30 mins,9.1
POI_00049,Friends,5,65+,Japan,9.2,8.9,Beautiful location but crowded,683.88,7.7,Flight,60 mins,8.5
POI_00050,Couple,2,26-35,South Korea,8.3,8.4,Could be better maintained,293.31,7.4,Train,60 mins,8
POI_00051,Friends,3,26-35,France,5.6,6.2,Could be better maintained,367.39,4.6,Flight,60 mins,6.6
POI_00052,Solo,1,46-55,South Korea,8,8,Beautiful location but crowded,322.96,5.6,Flight,30 mins,7.5
POI_00053,Solo,1,18-25,Germany,7.7,8.5,Excellent facilities and staff,457.39,6.4,Cruise,120 mins,8.3
POI_00054,Friends,6,46-55,Germany,6.1,6.7,Breathtaking views,79.43,5.3,Car,30 mins,6.9
POI_00055,Couple,2,46-55,United States,8.1,8.3,Breathtaking views,349.24,6.4,Train,90 mins,8.5
POI_00056,Friends,4,36-45,Australia,10,9.8,Highly recommended destination,145.58,5.4,Bus,240 mins,9.2
POI_00057,Friends,3,26-35,Germany,8,8.7,Peaceful and relaxing atmosphere,601.53,4.5,Flight,60 mins,8.4
POI_00058,Solo,1,56-65,South Korea,6.6,7.1,Amazing experience with great service,383.58,6.7,Bus,72 hours,7.4
POI_00059,Solo,1,18-25,India,8.8,9.2,Could be better maintained,575.4,8.3,Car,180 mins,8.6
POI_00060,Couple,2,18-25,South Korea,7.5,7.7,Beautiful location but crowded,260.69,7.4,Bus,60 mins,8.1
POI_00061,Solo,1,56-65,China,8.1,7.7,Good value for money,132.58,7.3,Car,120 mins,8.1
POI_00062,Solo,1,56-65,Germany,9,9.3,Unforgettable memories created,346.37,4.7,Cruise,180 mins,10
POI_00063,Solo,1,56-65,China,6.2,6.4,Breathtaking views,489.87,5,Train,240 mins,7
POI_00064,Family,4,36-45,Germany,7,7.2,Perfect for families,451.2,6.4,Car,48 hours,7.4
POI_00065,Family,3,46-55,United Kingdom,7.3,8,Peaceful and relaxing atmosphere,327.26,7.6,Car,120 mins,8.1
POI_00066,Family,3,18-25,United States,6.9,6.6,Could be better maintained,112.72,3.6,Train,180 mins,6.8
POI_00067,Solo,1,18-25,South Korea,6.7,6.3,Good value for money,98.87,3.4,Bus,180 mins,6.6
POI_00068,Family,4,26-35,Japan,8,7.5,Beautiful location but crowded,592.65,6.6,Bus,48 hours,8.2
POI_00069,Family,3,36-45,United Kingdom,9.2,9.1,Could be better maintained,668.35,5.1,Flight,180 mins,9
POI_00070,Family,3,56-65,South Korea,7.2,7.9,Amazing experience with great service,143.99,6.5,Train,240 mins,7.3
POI_00071,Family,4,65+,China,9.6,9.8,Excellent facilities and staff,693.86,6,Bus,90 mins,9.4
POI_00072,Solo,1,18-25,South Korea,6.6,6,Excellent facilities and staff,434.28,4.6,Train,90 mins,5.5
POI_00073,Family,3,56-65,Germany,9,8.2,Perfect for families,443.27,7,Car,48 hours,8.2
POI_00074,Family,4,56-65,Canada,9,8.3,Peaceful and relaxing atmosphere,246.24,8.1,Train,30 mins,7.5
POI_00075,Solo,1,65+,Australia,8,7.8,Peaceful and relaxing atmosphere,180.71,5.7,Car,30 mins,7.5
POI_00076,Solo,1,36-45,United Kingdom,7.6,8.3,Peaceful and relaxing atmosphere,655.99,7,Flight,60 mins,9.1
POI_00077,Friends,4,56-65,Australia,9.6,9.3,Highly recommended destination,686.01,8.5,Train,30 mins,8.7
POI_00078,Solo,1,18-25,United Kingdom,9.1,8.9,Highly recommended destination,670.09,8.3,Car,30 mins,8.8
POI_00079,Family,3,56-65,South Korea,8,7.5,Excellent facilities and staff,153.97,6,Flight,120 mins,8.2
POI_00080,Couple,2,18-25,France,10,9.9,Perfect for families,423.8,7,Flight,30 mins,10
POI_00081,Family,3,26-35,Germany,10,9.5,Beautiful location but crowded,757.76,7.4,Flight,90 mins,10
POI_00082,Friends,7,56-65,United Kingdom,8.9,9.4,Good value for money,178.99,9.2,Car,60 mins,9.3
POI_00083,Couple,2,46-55,United States,7.1,6.9,Excellent facilities and staff,241.99,3.8,Train,240 mins,7.1
POI_00084,Family,4,46-55,Germany,9.1,9.1,Peaceful and relaxing atmosphere,442.56,7.1,Cruise,60 mins,9.7
POI_00085,Solo,1,46-55,United States,7,7.6,Could be better maintained,477.73,6.2,Car,60 mins,6.9
POI_00086,Couple,2,46-55,Japan,6.4,6.9,Peaceful and relaxing atmosphere,238.33,5.5,Car,60 mins,6.2
POI_00087,Couple,2,18-25,Germany,8.3,7.7,Breathtaking views,354.04,6.9,Flight,72 hours,7.5
POI_00088,Family,4,18-25,France,10,9.4,Perfect for families,703.69,7,Flight,240 mins,8.7
POI_00089,Friends,5,65+,South Korea,9.9,9.9,Perfect for families,537.95,6.1,Flight,30 mins,9.6
POI_00090,Solo,1,36-45,United Kingdom,6,6.5,Unforgettable memories created,128.17,5.3,Flight,90 mins,6
POI_00091,Solo,1,18-25,India,8,7.4,Breathtaking views,419.79,4.3,Flight,72 hours,7.4
POI_00092,Family,3,46-55,India,6.4,6.7,Highly recommended destination,108.6,3.8,Flight,30 mins,6.3
POI_00093,Friends,4,56-65,Germany,7.5,7.5,Peaceful and relaxing atmosphere,95.64,6.7,Train,30 mins,7.8
POI_00094,Friends,3,18-25,South Korea,10,9.5,Highly recommended destination,279.12,8.6,Car,240 mins,8.7
POI_00095,Couple,2,36-45,Australia,6.3,6.7,Beautiful location but crowded,294.24,5.4,Car,240 mins,6.5
POI_00096,Family,4,56-65,Japan,8.2,9,Beautiful location but crowded,539.41,8.5,Flight,240 mins,8.6
POI_00097,Family,4,56-65,France,6.3,6.4,Breathtaking views,172.63,4.1,Cruise,90 mins,6.4
POI_00098,Friends,3,65+,France,6.9,7.3,Highly recommended destination,134.2,6.9,Flight,60 mins,7
POI_00099,Couple,2,46-55,Australia,9.2,8.7,Excellent facilities and staff,139.93,6.7,Car,180 mins,8.7
POI_00100,Family,5,46-55,South Korea,7.1,7.7,Amazing experience with great service,272.7,6.3,Train,72 hours,7.4
POI_00101,Family,4,26-35,Australia,10,9.9,Unforgettable memories created,169.54,5.7,Cruise,180 mins,9.4
POI_00102,Family,3,46-55,Canada,6.4,6.7,Could be better maintained,487.58,3.6,Flight,240 mins,6.3
POI_00103,Couple,2,56-65,Canada,8.3,7.6,Excellent facilities and staff,287.66,7.5,Car,240 mins,7
POI_00104,Solo,1,36-45,South Korea,8.8,9.3,Unforgettable memories created,528.29,9,Car,72 hours,8.7
POI_00105,Solo,1,26-35,France,7.9,8.3,Good value for money,191.67,5.5,Cruise,60 mins,8.7
POI_00106,Couple,2,18-25,United States,7.6,8,Good value for money,421.95,5.2,Flight,120 mins,7.4
POI_00107,Solo,1,46-55,Australia,6.6,6.6,Unforgettable memories created,89.94,4.4,Cruise,60 mins,6.6
POI_00108,Friends,3,46-55,Australia,9.6,10,Good value for money,278.25,8.4,Flight,60 mins,10
POI_00109,Solo,1,18-25,Australia,8.4,8.4,Good value for money,289.13,8.1,Car,60 mins,8.3
POI_00110,Friends,7,18-25,South Korea,6.8,6.5,Good value for money,147.46,3.5,Car,30 mins,7.1
POI_00111,Friends,5,26-35,Canada,8.7,9.4,Highly recommended destination,226.67,5.5,Bus,120 hours,10
POI_00112,Family,5,46-55,India,8.7,8.7,Highly recommended destination,621.22,6.1,Flight,120 mins,8.5
POI_00113,Friends,5,26-35,Canada,7.4,7.5,Could be better maintained,467.49,5.6,Car,90 mins,7.2
POI_00114,Couple,2,65+,France,9.4,9.6,Highly recommended destination,705.15,7.8,Flight,120 mins,9.7
POI_00115,Couple,2,36-45,Canada,10,9.8,Beautiful location but crowded,193.54,8.8,Flight,240 mins,9.5
POI_00116,Family,4,26-35,France,10,9.6,Perfect for families,305.48,6,Car,90 mins,8.9
POI_00117,Solo,1,26-35,United Kingdom,6.2,6.1,Good value for money,435.38,4.1,Cruise,120 mins,6.4
POI_00118,Couple,2,65+,Germany,6.8,6.4,Beautiful location but crowded,241.98,5.8,Cruise,96 hours,5.9
POI_00119,Friends,4,36-45,South Korea,9.3,8.9,Could be better maintained,521.33,6.9,Flight,120 mins,9.2
POI_00120,Solo,1,26-35,Australia,6.9,7.4,Breathtaking views,376.2,5.2,Flight,180 mins,8
POI_00121,Solo,1,56-65,Australia,9.1,9.8,Could be better maintained,445.04,7.9,Car,30 mins,10
POI_00122,Family,5,36-45,Australia,9.8,9.7,Breathtaking views,723.38,8.3,Flight,180 mins,10
POI_00123,Couple,2,46-55,Germany,8.5,8.3,Peaceful and relaxing atmosphere,510.87,8,Flight,96 hours,8.2
POI_00124,Friends,5,18-25,Australia,7.1,6.5,Perfect for families,121.72,6.2,Train,240 mins,6.9
POI_00125,Friends,5,65+,United Kingdom,8.2,8.4,Could be better maintained,281.1,7.6,Bus,60 mins,7.7
POI_00126,Solo,1,46-55,India,7.2,7.3,Unforgettable memories created,543.05,4.9,Flight,240 mins,7.4
POI_00127,Solo,1,18-25,Australia,8.9,9,Excellent facilities and staff,375.04,5.1,Flight,96 hours,8.5
POI_00128,Couple,2,18-25,France,7.9,8,Breathtaking views,282.94,6.3,Flight,72 hours,8.7
POI_00129,Couple,2,46-55,Japan,6.3,6.1,Perfect for families,471.38,3.5,Train,120 mins,5.7
POI_00130,Family,3,46-55,France,10,10,Beautiful location but crowded,146.95,8.7,Car,120 mins,10
POI_00131,Solo,1,65+,South Korea,9,9.6,Amazing experience with great service,120.56,7.1,Flight,90 mins,9
POI_00132,Couple,2,65+,China,6.6,6.3,Amazing experience with great service,294.26,4.5,Cruise,30 mins,6.2
POI_00133,Couple,2,26-35,United States,7.6,8.2,Unforgettable memories created,576.66,8,Cruise,48 hours,7.7
POI_00134,Couple,2,26-35,Canada,7.3,7.1,Beautiful location but crowded,83.62,4.1,Flight,180 mins,7
POI_00135,Couple,2,46-55,France,7.8,8.6,Perfect for families,225.11,7.2,Car,60 mins,8.1
POI_00136,Solo,1,26-35,France,6.8,6.4,Beautiful location but crowded,356.43,4,Flight,180 mins,6
POI_00137,Solo,1,36-45,India,7.3,7,Breathtaking views,476.81,4.9,Flight,120 mins,7.5
POI_00138,Couple,2,18-25,India,6.5,6.8,Good value for money,74.19,3.7,Car,30 mins,7.3
POI_00139,Family,3,65+,India,6.8,6.7,Beautiful location but crowded,485.66,6.1,Flight,120 hours,6.6
POI_00140,Solo,1,36-45,South Korea,6.8,7,Breathtaking views,201.35,5.7,Flight,72 hours,7.1
POI_00141,Solo,1,56-65,Japan,8.1,8.2,Amazing experience with great service,626.41,7.2,Cruise,120 mins,7.9
POI_00142,Friends,7,18-25,Australia,8.5,7.9,Perfect for families,314.14,4,Flight,240 mins,8.4
POI_00143,Friends,5,65+,United Kingdom,8.1,8.5,Breathtaking views,581.78,8.4,Flight,60 mins,7.9
POI_00144,Family,3,56-65,South Korea,6.4,7.1,Could be better maintained,129.52,5.6,Train,120 mins,7.7
POI_00145,Friends,5,65+,India,9.2,8.6,Peaceful and relaxing atmosphere,92.62,4.9,Flight,90 mins,8.1
POI_00146,Couple,2,18-25,France,9.7,9.5,Could be better maintained,537.25,5.6,Train,60 mins,9.7
POI_00147,Friends,5,56-65,India,7.5,7.5,Breathtaking views,162.3,6.5,Bus,90 mins,6.8
POI_00148,Solo,1,46-55,Japan,8,8.4,Excellent facilities and staff,253.75,5.7,Flight,120 mins,8.2
POI_00149,Couple,2,36-45,France,7.3,7.2,Perfect for families,406.49,7,Cruise,90 mins,7.2
POI_00150,Family,3,56-65,United States,5.8,6.1,Highly recommended destination,82.96,4.6,Bus,60 mins,6.2
POI_00151,Solo,1,26-35,Australia,7.7,7.3,Could be better maintained,111.4,6.3,Cruise,120 hours,6.7
POI_00152,Couple,2,65+,Canada,8.7,8.8,Could be better maintained,592.57,7.9,Train,120 mins,8.4
POI_00153,Solo,1,18-25,France,7.2,7.1,Good value for money,116.52,6.8,Cruise,120 mins,6.9
POI_00154,Couple,2,36-45,India,9.7,9.8,Perfect for families,469.74,9.2,Flight,120 mins,9.2
POI_00155,Family,5,46-55,South Korea,8.9,8.6,Perfect for families,236.3,6.4,Car,90 mins,9.2
POI_00156,Friends,7,36-45,France,8.9,9.8,Peaceful and relaxing atmosphere,732.72,5.8,Flight,60 mins,10
POI_00157,Solo,1,65+,Germany,8.8,9.7,Perfect for families,298.9,9.3,Cruise,30 mins,10
POI_00158,Couple,2,26-35,Germany,9.7,9.8,Could be better maintained,677.36,6.5,Bus,90 mins,10
POI_00159,Family,3,18-25,Germany,7.9,8.4,Peaceful and relaxing atmosphere,129.25,7.1,Car,60 mins,7.8
POI_00160,Family,5,26-35,France,6.1,6.3,Amazing experience with great service,411.71,4.2,Flight,240 mins,6.3
POI_00161,Couple,2,36-45,United States,9.7,9.5,Amazing experience with great service,111.23,8.9,Train,180 mins,9
POI_00162,Family,5,65+,United Kingdom,8.8,8.1,Could be better maintained,646.83,5.5,Flight,30 mins,8.6
POI_00163,Solo,1,56-65,France,7.6,7.6,Could be better maintained,540.8,7.5,Bus,120 mins,7.8
POI_00164,Friends,5,36-45,United Kingdom,8.1,7.7,Amazing experience with great service,136.55,5.2,Car,90 mins,7.3
POI_00165,Friends,4,18-25,China,6.3,6.9,Breathtaking views,546.07,4.9,Flight,120 mins,6.2
POI_00166,Solo,1,56-65,United States,8.2,8.7,Excellent facilities and staff,565.88,4.7,Train,60 mins,9.5
POI_00167,Family,5,18-25,Germany,9.7,9.8,Beautiful location but crowded,212.59,9.8,Car,180 mins,10
POI_00168,Friends,7,56-65,India,8.8,8.6,Unforgettable memories created,224.86,5.1,Flight,60 mins,8.6
POI_00169,Friends,3,46-55,Canada,8.8,9.1,Peaceful and relaxing atmosphere,708.32,8.6,Flight,180 mins,8.3
POI_00170,Friends,7,36-45,India,6.6,6.7,Unforgettable memories created,393.43,3.9,Train,30 mins,7
POI_00171,Solo,1,26-35,Germany,6.5,6.9,Peaceful and relaxing atmosphere,355.39,5.5,Cruise,240 mins,7
POI_00172,Solo,1,26-35,Germany,9.1,9.5,Excellent facilities and staff,686.02,9.3,Flight,180 mins,8.8
POI_00173,Solo,1,26-35,United States,9.5,9.2,Breathtaking views,148.02,6.5,Car,120 mins,9.3
POI_00174,Friends,4,36-45,United States,8.9,8.9,Good value for money,226.17,7.5,Flight,90 mins,8.2
POI_00175,Family,5,65+,Canada,8,8,Beautiful location but crowded,541.82,5.4,Flight,240 mins,8.1
POI_00176,Couple,2,36-45,India,7.9,8.3,Good value for money,546.3,6.9,Cruise,120 mins,8.9
POI_00177,Solo,1,56-65,Germany,9.9,9.5,Excellent facilities and staff,558.82,8,Bus,90 mins,10
POI_00178,Couple,2,18-25,United States,8.4,9,Excellent facilities and staff,639.26,4.6,Cruise,90 mins,9.7
POI_00179,Family,3,46-55,China,7.7,7.3,Could be better maintained,490.98,6.7,Car,240 mins,6.8
POI_00180,Family,3,65+,Australia,7.3,7.1,Peaceful and relaxing atmosphere,385.01,4.5,Train,180 mins,7.8
POI_00181,Friends,5,46-55,China,8.4,9.1,Unforgettable memories created,435.79,8.9,Car,30 mins,9.6
POI_00182,Friends,6,65+,Japan,8.9,9.7,Unforgettable memories created,564.07,5.2,Flight,90 mins,10
POI_00183,Solo,1,18-25,Germany,8,8.8,Unforgettable memories created,301.06,7.1,Flight,180 mins,8.9
POI_00184,Solo,1,65+,France,10,9.5,Unforgettable memories created,593.52,5.4,Flight,30 mins,10
POI_00185,Couple,2,46-55,South Korea,5.5,6.1,Could be better maintained,269.65,5.4,Car,90 mins,5.9
POI_00186,Couple,2,56-65,Australia,7.4,7.8,Could be better maintained,310.69,5.7,Cruise,30 mins,8.6
POI_00187,Friends,6,36-45,Australia,8.3,8.8,Perfect for families,507.19,7.3,Flight,90 mins,8.1
