POI_ID,Company_ID,Company_Name,HQ_Country,Service_Type,FY_Year,Total_Customers_To_POI,Active_Tourists,Avg_Customer_Rating,Revenue(USD),Marketing_Expenditure_USD,Avg_Booking_Value,Destinations_Preference_Index,Tech_Adaptability_index,Digital_Channel_Share,Customer_Retention,Avg_Trip_Cost_USD,Commission,CSR_Focus_index,Reviews,Booking_Platforms
POI_00001,COMP_0021,Carnival Corporation,United Kingdom,Hotel Chain,2022,363759,258857,7.5,132532.03,19301.48,6.8,6,6.4,0.31,0.7,248.64,151833.51,6.9,Facility could use some updates and maintenance,Expedia
POI_00002,COMP_0005,Accor Hotels,Australia,Hotel Chain,2024,3789651,2873487,8.1,316586.56,33864.49,5.9,4.6,5.2,0.56,0.62,719.31,350451.05,7.2,Excellent staff and well-maintained property throughout,TripAdvisor
POI_00003,COMP_0014,Booking Holdings,France,Hotel Chain,2020,853920,714600,8.4,284030.61,51695.43,5.1,4.7,6.3,0.32,0.77,1127.54,335726.04,5.3,Breathtaking views and stunning natural scenery,Expedia
POI_00004,COMP_0017,TUI Group,Turkey,Hotel Chain,2024,9826237,8401694,6.7,224904.78,31644.63,6.4,6.3,5.4,0.95,0.42,263.32,256549.41,4,Breathtaking views and stunning natural scenery,TripAdvisor
POI_00005,COMP_0014,Booking Holdings,Japan,Cruise Line,2024,374081,272400,9.3,378053.23,81542.51,8,5,9.2,0.84,0.62,2012.46,459595.74,4.7,Highly recommended for first-time visitors,Booking.com
POI_00006,COMP_0025,Disney Cruise Line,United States,Resort,2023,472825,341935,6.3,449245.73,76745.65,5.7,5.1,4.2,0.34,0.45,1832.16,525991.38,4.2,Clean and comfortable with friendly staff members,Airbnb
POI_00007,COMP_0005,Accor Hotels,Japan,Tour Operator,2020,8543089,7297451,6.5,278856.81,65847.84,4.2,4.9,4.6,0.32,0.41,1090.98,344704.65,3.4,Excellent staff and well-maintained property throughout,Direct Website
POI_00008,COMP_0004,Hyatt Hotels,Singapore,Tour Operator,2024,6635688,5647702,7,411652.43,52685.55,3.2,3.8,4.5,0.41,0.65,2173.52,464337.98,6.3,Highly recommended for first-time visitors,Booking.com
POI_00009,COMP_0024,MSC Cruises,Spain,Travel Agency,2020,25953033,19817754,9.6,149948.51,17690.9,3.6,5.9,6.9,0.87,0.87,915.04,167639.41,4.8,Outstanding service exceeded our expectations completely,Booking.com
POI_00010,COMP_0018,Thomas Cook,Thailand,Travel Agency,2022,3379049,2583758,7.4,178178.22,18803.69,4.9,6.3,5,0.98,0.69,896.14,196981.91,4.6,Best vacation spot we have visited recently,Expedia
