POI_ID,Common_Travel_Partner,Total_Visitors,Dominant_Age_Group,Origin_Country,Average_Sentiment_Score,Average_Rating,Reviews,Avg_spend_per_head,Accesebility_index,Travel_mode,time_spent,Overall_experience,  
POI_00001,Solo,1,56-65,Australia,8.3,8.9,Amazing experience with great service,312.97,6.8,Flight,30 mins,8.8,
POI_00002,Family,4,18-25,United Kingdom,7.8,8.4,Breathtaking views,446.62,4.3,Car,90 mins,9.1,
POI_00003,Family,3,36-45,France,10,9.7,Amazing experience with great service,152.19,9.6,Bus,180 mins,10,
POI_00004,Couple,2,36-45,China,7.6,7.3,Good value for money,632.55,5.7,Flight,120 mins,7.7,
POI_00005,Solo,1,56-65,United Kingdom,7.1,7.6,Highly recommended destination,724.79,5.8,Train,60 mins,8.1,
POI_00006,Friends,4,36-45,China,6.5,6.5,Good value for money,310.61,4.2,Cruise,240 mins,5.9,
POI_00007,Couple,2,26-35,France,8.2,9,Unforgettable memories created,513.63,7.5,Bus,180 mins,8.1,
POI_00008,Solo,1,26-35,United Kingdom,10,9.5,Breathtaking views,543.17,6.4,Cruise,24 hours,9.2,
POI_00009,Family,4,18-25,France,9.3,8.7,Breathtaking views,560.33,6.8,Train,120 mins,8,
POI_00010,Couple,2,26-35,Japan,6.6,6.8,Excellent facilities and staff,110.82,6.6,Cruise,180 mins,6.7,
POI_00011,Couple,2,56-65,China,8,8.3,Beautiful location but crowded,666.55,7.5,Bus,30 mins,8.9,
POI_00012,Couple,2,56-65,Germany,8.1,8.3,Peaceful and relaxing atmosphere,188.94,6.3,Bus,72 hours,8.7,
POI_00013,Couple,2,56-65,Germany,9.6,9.2,Amazing experience with great service,562.14,5.9,Flight,240 mins,10,
POI_00014,Couple,2,65+,Canada,9.6,9.4,Good value for money,544.57,4.9,Bus,120 mins,9.2,
POI_00015,Solo,1,65+,China,6.9,7.6,Amazing experience with great service,166.11,6.4,Bus,240 mins,6.9,
POI_00016,Couple,2,36-45,Canada,7.7,7.1,Good value for money,700.89,5.1,Flight,120 mins,7.5,
POI_00017,Friends,6,46-55,Canada,6.7,7.3,Good value for money,446.09,3.9,Bus,30 mins,7.4,
POI_00018,Friends,7,26-35,Germany,9.8,9.3,Peaceful and relaxing atmosphere,363.38,5,Train,30 mins,9.8,
POI_00019,Couple,2,18-25,China,9.7,9,Excellent facilities and staff,469.39,9,Flight,180 mins,8.2,
POI_00020,Friends,3,65+,Japan,10,9.8,Peaceful and relaxing atmosphere,790.35,8.3,Train,72 hours,9.9,
POI_00021,Solo,1,46-55,China,9.3,9.5,Beautiful location but crowded,291.38,5,Cruise,48 hours,10,
POI_00022,Couple,2,46-55,France,8.4,8.4,Unforgettable memories created,696.53,6.5,Cruise,30 mins,8.5,
POI_00023,Couple,2,36-45,France,7.8,8.4,Unforgettable memories created,748.61,6.3,Train,240 mins,8,
POI_00024,Solo,1,65+,Australia,8,8.6,Peaceful and relaxing atmosphere,295.01,5.1,Flight,30 mins,7.9,
POI_00025,Couple,2,56-65,United States,9.6,9.7,Perfect for families,623.23,5,Cruise,180 mins,9.2,
POI_00026,Couple,2,65+,China,6.7,7.3,Perfect for families,475.97,5.8,Cruise,120 mins,7.7,
