POI_ID,Company_ID,Company_Name,HQ_Country,Service_Type,FY_Year,Total_Customers_To_POI,Active_Tourists,Avg_Customer_Rating,Revenue(USD),Marketing_Expenditure_USD,Avg_Booking_Value,Destinations_Preference_Index,Tech_Adaptability_index,Digital_Channel_Share,Customer_Retention,Avg_Trip_Cost_USD,Commission,CSR_Focus_index,Reviews,Booking_Platforms,POI_Name,Country,Region_type,POI_Latitude,POI_Longitude,POI_Type_Detailed,Time_To_Visit,Family_Friendly_Index,Transit_Time(in mins),Local_Transfer(USD),Accessebility_Value,Visitor_Volume(in thousands),Seasonality_Index,Food_Index,Operating_Hours,Safety_Index,Cost_of_POI,Connectivity_index,Common_Travel_Partner,Total_Visitors,Dominant_Age_Group,Origin_Country,Average_Sentiment_Score,Average_Rating,Avg_spend_per_head,Accesebility_index,Travel_mode,time_spent,Overall_experience,Engagement_Score,Family_Score,Profit_Margin,Revenue_Per_Customer,Marketing_ROI,POI_Category,Price_Tier,Digital_Adoption,Season_Category,Cluster,High_Performer
POI_00001,COMP_0021,Carnival Corporation,United Kingdom,Hotel Chain,2022,363759,258857,7.5,132532.03,19301.48,6.8,6.0,6.4,0.31,0.7,248.64,151833.51,6.9,Facility could use some updates and maintenance,Expedia,London Religious Site,United Kingdom,Historical,51.494854,-0.082729,Religious Site,October-December,7.1,31,Yes,5.1,28347.3,3.1,8.8,6:00 AM - 22:00 PM,8.3,145.55,6.0,Solo,1,56-65,Australia,8.3,8.9,312.97,6.8,Flight,30 mins,8.8,8.2,7.7,0.854,0.36,6.87,Cultural/Heritage,Mid-Range,Low,Year-Round,0.0,0
POI_00002,COMP_0005,Accor Hotels,Australia,Hotel Chain,2024,3789651,2873487,8.1,316586.56,33864.49,5.9,4.6,5.2,0.56,0.62,719.31,350451.05,7.2,Excellent staff and well-maintained property throughout,TripAdvisor,Rome Cultural Center,Italy,Historical,41.912041,12.451045,Cultural Center,Winter Season,4.9,21,Yes,8.2,7917.2,9.9,7.6,9:00 AM - 21:00 PM,6.1,93.95,7.3,Family,4,18-25,United Kingdom,7.8,8.4,446.62,4.3,Car,90 mins,9.1,8.33,5.5,0.893,0.08,9.35,Cultural/Heritage,Budget,Medium,Winter,1.0,0
POI_00003,COMP_0014,Booking Holdings,France,Hotel Chain,2020,853920,714600,8.4,284030.61,51695.43,5.1,4.7,6.3,0.32,0.77,1127.54,335726.04,5.3,Breathtaking views and stunning natural scenery,Expedia,Maldives Art Gallery,Maldives,Island,3.242283,73.23049,Beach Resort,Winter Season,5.3,35,Yes,5.1,636.5,7.1,8.9,24 Hours,7.2,176.42,7.9,Family,3,36-45,France,10.0,9.7,152.19,9.6,Bus,180 mins,10.0,9.47,6.25,0.818,0.33,5.49,Beach/Island,Mid-Range,Low,Winter,0.0,1
POI_00004,COMP_0017,TUI Group,Turkey,Hotel Chain,2024,9826237,8401694,6.7,224904.78,31644.63,6.4,6.3,5.4,0.95,0.42,263.32,256549.41,4.0,Breathtaking views and stunning natural scenery,TripAdvisor,New York Wildlife Sanctuary,United States,Urban,40.74911,-73.99367,Wildlife Sanctuary,Summer Season,3.9,47,Yes,4.8,202.4,8.9,6.0,6:00 AM - 17:00 PM,7.0,262.5,4.7,Couple,2,36-45,China,7.6,7.3,632.55,5.7,Flight,120 mins,7.7,7.33,5.45,0.859,0.02,7.11,Nature/Adventure,Mid-Range,High,Summer,1.0,0
POI_00005,COMP_0014,Booking Holdings,Japan,Cruise Line,2024,374081,272400,9.3,378053.23,81542.51,8.0,5.0,9.2,0.84,0.62,2012.46,459595.74,4.7,Highly recommended for first-time visitors,Booking.com,Bali Theme Park,Indonesia,Island,-8.299743,115.066929,Theme Park,Summer Season,6.7,39,Yes,4.1,673.7,9.7,6.9,8:00 AM - 22:00 PM,6.5,442.16,7.0,Solo,1,56-65,United Kingdom,7.1,7.6,724.79,5.8,Train,60 mins,8.1,8.17,6.6,0.784,1.01,4.64,Urban/Entertainment,Luxury,High,Summer,0.0,0
POI_00006,COMP_0025,Disney Cruise Line,United States,Resort,2023,472825,341935,6.3,449245.73,76745.65,5.7,5.1,4.2,0.34,0.45,1832.16,525991.38,4.2,Clean and comfortable with friendly staff members,Airbnb,Bangkok Botanical Garden,Thailand,Urban,13.748041,100.474011,Botanical Garden,January-March,4.3,114,Yes,4.3,912.9,5.1,5.5,6:00 AM - 19:00 PM,4.8,487.3,6.4,Friends,4,36-45,China,6.5,6.5,310.61,4.2,Train,240 mins,5.9,6.23,4.55,0.829,0.95,5.85,Urban/Entertainment,Luxury,Low,Winter,1.0,0
POI_00007,COMP_0005,Accor Hotels,Japan,Tour Operator,2020,8543089,7297451,6.5,278856.81,65847.84,4.2,4.9,4.6,0.32,0.41,1090.98,344704.65,3.4,Excellent staff and well-maintained property throughout,Direct Website,Bali Scenic Viewpoint,Indonesia,Island,-8.366294,115.109214,Scenic Viewpoint,July-September,5.6,91,No,6.2,22080.4,5.1,4.9,24 Hours,8.4,194.35,6.1,Couple,2,26-35,France,8.2,9.0,513.63,7.5,Bus,180 mins,8.1,7.6,7.0,0.764,0.03,4.23,Urban/Entertainment,Mid-Range,Low,Summer,0.0,0
POI_00008,COMP_0004,Hyatt Hotels,Singapore,Tour Operator,2024,6635688,5647702,7.0,411652.43,52685.55,3.2,3.8,4.5,0.41,0.65,2173.52,464337.98,6.3,Highly recommended for first-time visitors,Booking.com,Tokyo Archaeological Site,Japan,Urban,35.637547,139.692769,Archaeological Site,April-June,6.0,84,Yes,8.6,22861.2,5.2,7.3,24 Hours,6.6,91.9,9.1,Solo,1,26-35,United Kingdom,10.0,9.5,543.17,6.4,Train,24 hours,9.2,8.73,6.3,0.872,0.06,7.81,Cultural/Heritage,Budget,Low,Spring/Fall,0.0,1
POI_00009,COMP_0024,MSC Cruises,Spain,Travel Agency,2020,25953033,19817754,9.6,149948.51,17690.9,3.6,5.9,6.9,0.87,0.87,915.04,167639.41,4.8,Outstanding service exceeded our expectations completely,Booking.com,Istanbul Adventure Park,Turkey,Historical,40.95912,28.938547,Adventure Park,January-March,4.4,31,Yes,6.7,12515.9,3.9,7.4,10:00 AM - 19:00 PM,6.0,196.43,7.8,Family,4,18-25,France,9.3,8.7,560.33,6.8,Train,120 mins,8.0,8.97,5.2,0.882,0.01,8.48,Nature/Adventure,Mid-Range,High,Winter,1.0,1
POI_00010,COMP_0018,Thomas Cook,Thailand,Travel Agency,2022,3379049,2583758,7.4,178178.22,18803.69,4.9,6.3,5.0,0.98,0.69,896.14,196981.91,4.6,Best vacation spot we have visited recently,Expedia,Los Angeles Mountain Resort,United States,Urban,34.05989,-118.244448,Mountain Resort,April-June,5.9,44,No,3.5,14794.3,5.6,4.0,24 Hours,6.6,479.27,6.6,Couple,2,26-35,Japan,6.6,6.8,110.82,6.6,Car,180 mins,6.7,6.9,6.25,0.894,0.05,9.48,Nature/Adventure,Luxury,High,Spring/Fall,1.0,0
